fold,epoch,train_loss,val_mae_phys,val_rmse_phys,bias_phys,best_val_mae_phys_so_far,best_epoch,improved,epochs_without_improvement
1,1,0.9618379175662994,0.3598855435848236,0.489206642627299,0.18266883492469788,0.3598855435848236,1,True,0
1,2,0.4342843633559015,0.5031622648239136,0.5824176606525354,-0.3728378117084503,0.3598855435848236,1,False,1
1,3,0.43567689922120834,0.33465465903282166,0.46047243806095334,0.1550457775592804,0.33465465903282166,3,True,0
1,4,0.3210464037126965,0.32693758606910706,0.4312961118343315,0.008287151344120502,0.32693758606910706,4,True,0
1,5,0.2813478476471371,0.32360461354255676,0.4278176283267757,0.02706376649439335,0.32360461354255676,5,True,0
1,6,0.2882503900263045,0.32861730456352234,0.43298453413387145,0.061092574149370193,0.32360461354255676,5,False,1
1,7,0.2586300141281552,0.344622939825058,0.44979319125022077,0.13053880631923676,0.32360461354255676,5,False,2
1,8,0.2363586388528347,0.32740360498428345,0.4248598260282632,-0.028650879859924316,0.32360461354255676,5,False,3
1,9,0.239429054574834,0.34361398220062256,0.4505829373223834,0.18094885349273682,0.32360461354255676,5,False,4
1,10,0.2338163372543123,0.3106491267681122,0.4036039597316101,0.009621130302548409,0.3106491267681122,10,True,0
1,11,0.20789051283564833,0.3134421110153198,0.4112584155534764,0.1002579778432846,0.3106491267681122,10,False,1
1,12,0.2153268245359262,0.29866138100624084,0.3916670822925933,0.04638858512043953,0.29866138100624084,12,True,0
1,13,0.19993638743956885,0.3026094436645508,0.3921844254331403,-0.006193425972014666,0.29866138100624084,12,False,1
1,14,0.19338673104842505,0.29157567024230957,0.38702625032721577,0.07244037091732025,0.29157567024230957,14,True,0
1,15,0.1858090679678652,0.26549965143203735,0.3687513812087749,-0.04240359365940094,0.26549965143203735,15,True,0
1,16,0.18211310025718477,0.26457297801971436,0.36610675601430304,-0.05254737660288811,0.26457297801971436,16,True,0
1,17,0.18326182083951104,0.2551504969596863,0.3582222736860553,0.03987132012844086,0.2551504969596863,17,True,0
1,18,0.1697185453441408,0.24572107195854187,0.3517673001871128,-0.033578064292669296,0.24572107195854187,18,True,0
1,19,0.14817059164245924,0.25484970211982727,0.3527481431270096,-0.04432527348399162,0.24572107195854187,18,False,1
1,20,0.1666318020886845,0.23357653617858887,0.3381204429925787,-0.036031324416399,0.23357653617858887,20,True,0
1,21,0.17632721488674483,0.30620601773262024,0.42317453432538094,0.27185457944869995,0.23357653617858887,20,False,1
1,22,0.17771851933664745,0.22741301357746124,0.3522309729680835,0.11474466323852539,0.22741301357746124,22,True,0
1,23,0.15450393988026512,0.3143545687198639,0.38395795915612657,-0.18713897466659546,0.22741301357746124,22,False,1
1,24,0.14859803352091047,0.2716987133026123,0.3572754064739537,-0.10019971430301666,0.22741301357746124,22,False,2
1,25,0.13162071030173036,0.21251770853996277,0.33816089735723376,0.11603464186191559,0.21251770853996277,25,True,0
1,26,0.1253716933230559,0.2006838023662567,0.31846173518969767,0.0703912079334259,0.2006838023662567,26,True,0
1,27,0.1298820467458831,0.2954493761062622,0.36461178350705487,-0.19113868474960327,0.2006838023662567,26,False,1
1,28,0.21890974582897293,0.3536178767681122,0.40969897620031526,-0.263374924659729,0.2006838023662567,26,False,2
1,29,0.18642088522513708,0.21382206678390503,0.3189466944779627,-0.0488203763961792,0.2006838023662567,26,False,3
1,30,0.1512013537188371,0.2535350024700165,0.32973627299180225,-0.13143473863601685,0.2006838023662567,26,False,4
1,31,0.10870368178519937,0.19238336384296417,0.29211560961182986,0.024022923782467842,0.19238336384296417,31,True,0
1,32,0.1116862774360925,0.22145584225654602,0.34246197975011405,0.16642239689826965,0.19238336384296417,31,False,1
1,33,0.13787676518162092,0.28228136897087097,0.3942263340834727,0.2569097578525543,0.19238336384296417,31,False,2
1,34,0.11622921687861283,0.2046145647764206,0.3227540447563763,0.11338276416063309,0.19238336384296417,31,False,3
1,35,0.11634455083145036,0.2467542290687561,0.3259358722942376,-0.13725948333740234,0.19238336384296417,31,False,4
1,36,0.12261923568116294,0.2856137454509735,0.3459604458663807,-0.1880817413330078,0.19238336384296417,31,False,5
1,37,0.09857024687031905,0.18794968724250793,0.28679875029530383,-0.007869694381952286,0.18794968724250793,37,True,0
1,38,0.08520759973261091,0.19334623217582703,0.28901519903883827,0.01307988166809082,0.18794968724250793,37,False,1
1,39,0.08362425097988711,0.20512805879116058,0.3148672563661487,0.1207730770111084,0.18794968724250793,37,False,2
1,40,0.08315102983680037,0.19554223120212555,0.3021076729713953,0.0459817498922348,0.18794968724250793,37,False,3
1,41,0.07795297954645422,0.19134385883808136,0.2952678242954923,0.007613182067871094,0.18794968724250793,37,False,4
1,42,0.1028376484496726,0.19109460711479187,0.29616833957664046,0.08273349702358246,0.18794968724250793,37,False,5
1,43,0.08399444632232189,0.19087699055671692,0.2966309975203832,0.08333129435777664,0.18794968724250793,37,False,6
1,44,0.08267277696480353,0.1831367164850235,0.2844671257364073,0.004830744583159685,0.1831367164850235,44,True,0
1,45,0.12804540722734398,0.19064748287200928,0.28415397973466267,-0.03896123915910721,0.1831367164850235,44,False,1
1,46,0.08567510048548381,0.20541399717330933,0.2975843638123897,-0.06365242600440979,0.1831367164850235,44,False,2
1,47,0.09976758745809396,0.30184561014175415,0.34706154867516203,-0.20464128255844116,0.1831367164850235,44,False,3
1,48,0.11929355468600988,0.2672637104988098,0.32923815012413987,-0.16993258893489838,0.1831367164850235,44,False,4
1,49,0.08717742210461034,0.19410637021064758,0.3020090088447961,0.06326206773519516,0.1831367164850235,44,False,5
1,50,0.0909792199316952,0.22241637110710144,0.3427760675660873,0.16170957684516907,0.1831367164850235,44,False,6
